Player,AVG,PA,OBP,SLG,OPS,Season
Pedro Pagés,0.238,218,0.281,0.376,0.657,2024
Paul Goldschmidt,0.245,654,0.302,0.414,0.716,2024
Nolan Gorman,0.203,402,0.271,0.4,0.671,2024
Masyn Winn,0.267,637,0.314,0.416,0.73,2024
Nolan Arenado,0.272,635,0.325,0.394,0.719,2024
Brendan Donovan,0.278,652,0.342,0.417,0.759,2024
Michael Siani,0.228,334,0.285,0.285,0.57,2024
Lars Nootbaar,0.244,405,0.342,0.417,0.758,2024
Alec Burleson,0.269,595,0.314,0.42,0.735,2024
Willson Contreras,0.262,358,0.38,0.468,0.848,2024
Iván Herrera,0.301,259,0.372,0.428,0.8,2024
Jordan Walker,0.201,178,0.253,0.366,0.619,2024
Matt Carpenter,0.234,157,0.314,0.372,0.686,2024
Victor Scott II,0.179,155,0.219,0.283,0.502,2024
Dylan Carlson,0.198,138,0.275,0.24,0.515,2024
Brandon Crawford,0.169,80,0.263,0.282,0.544,2024
José Fermín,0.155,79,0.241,0.197,0.438,2024
Tommy Pham,0.206,77,0.286,0.368,0.653,2024
Thomas Saggese,0.204,52,0.25,0.306,0.556,2024
Luken Baker,0.175,49,0.286,0.4,0.686,2024
