Player,AVG,PA,OBP,SLG,OPS,Season
Pedro Pagés,0.23,389,0.272,0.363,0.635,2025
Willson Contreras,0.257,563,0.344,0.447,0.791,2025
Brendan Donovan,0.287,515,0.353,0.422,0.775,2025
Masyn Winn,0.253,537,0.31,0.363,0.673,2025
Nolan Arenado,0.237,436,0.289,0.377,0.666,2025
Lars Nootbaar,0.234,583,0.325,0.361,0.686,2025
Victor Scott II,0.216,463,0.305,0.296,0.601,2025
Jordan Walker,0.215,396,0.278,0.306,0.584,2025
Iván Herrera,0.284,452,0.373,0.464,0.837,2025
Alec Burleson,0.29,546,0.343,0.459,0.801,2025
Nolan Gorman,0.205,402,0.296,0.37,0.666,2025
Thomas Saggese,0.258,295,0.299,0.342,0.641,2025
Yohel Pozo,0.231,168,0.262,0.375,0.637,2025
José Fermín,0.283,70,0.377,0.417,0.793,2025
Nathan Church,0.179,65,0.254,0.25,0.504,2025
Jimmy Crooks,0.133,46,0.152,0.244,0.397,2025
Luken Baker,0.235,41,0.366,0.324,0.689,2025
José Barrero,0.138,31,0.194,0.276,0.469,2025
Garrett Hampson,0.103,31,0.133,0.138,0.271,2025
Michael Siani,0.235,19,0.316,0.235,0.551,2025
Ryan Vilade,0.077,15,0.2,0.077,0.277,2025
César Prieto,0.167,6,0.167,0.167,0.333,2025
